date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:07	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://voldorel.github.io/robots.txt		(from )
22:50:07	31312/31312	---M-Z	200	added ('OK')	text/html	etag:W/%22656e6250-7a50%22	https://voldorel.github.io/	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/index.html	(from )
22:50:07	36105/36105	---M-Z	200	added ('OK')	text/css	etag:W/%22656e6250-8d09%22	https://voldorel.github.io/assets/css/main.css	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/assets/css/main.css	(from https://voldorel.github.io/)
22:50:07	568/568	---M-Z	200	added ('OK')	text/css	etag:W/%22656e6250-238%22	https://voldorel.github.io/assets/css/noscript.css	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/assets/css/noscript.css	(from https://voldorel.github.io/)
22:50:08	40581/40581	---M--	200	added ('OK')	image/jpeg	etag:%22656e6250-9e85%22	https://voldorel.github.io/images/MehdiArt.jpg	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/MehdiArt.jpg	(from https://voldorel.github.io/)
22:50:08	71904/71904	---M--	200	added ('OK')	image/jpeg	etag:%22656e6250-118e0%22	https://voldorel.github.io/images/Mehdi.jpg	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Mehdi.jpg	(from https://voldorel.github.io/)
22:50:08	1310067/1310067	---M--	200	added ('OK')	image/gif	etag:%22656e6250-13fd73%22	https://voldorel.github.io/images/Gif/mafia.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/mafia.gif	(from https://voldorel.github.io/)
22:50:09	3137494/3137494	---M--	200	added ('OK')	image/gif	etag:%22656e6250-2fdfd6%22	https://voldorel.github.io/images/Gif/Hitrun.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Hitrun.gif	(from https://voldorel.github.io/)
22:50:12	2054891/2054891	---M--	200	added ('OK')	image/gif	etag:%22656e6250-1f5aeb%22	https://voldorel.github.io/images/Gif/Guns.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Guns.gif	(from https://voldorel.github.io/)
22:50:16	6818617/6818617	---M--	200	added ('OK')	image/gif	etag:%22656e6250-680b39%22	https://voldorel.github.io/images/Gif/Heli.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Heli.gif	(from https://voldorel.github.io/)
22:50:16	2077883/2077883	---M--	200	added ('OK')	image/gif	etag:%22656e6250-1fb4bb%22	https://voldorel.github.io/images/Gif/Nav.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Nav.gif	(from https://voldorel.github.io/)
22:50:16	939220/939220	---M--	200	added ('OK')	image/gif	etag:%22656e6250-e54d4%22	https://voldorel.github.io/images/Gif/Elevator.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Elevator.gif	(from https://voldorel.github.io/)
22:50:17	5861912/5861912	---M--	200	added ('OK')	image/gif	etag:%22656e6250-597218%22	https://voldorel.github.io/images/Gif/Design.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Design.gif	(from https://voldorel.github.io/)
22:50:17	125191/125191	---M--	200	added ('OK')	image/jpeg	etag:%22656e6250-1e907%22	https://voldorel.github.io/images/Art/2d/123.jpg	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Art/2d/123.jpg	(from https://voldorel.github.io/)
22:50:17	2141494/2141494	---M--	200	added ('OK')	image/gif	etag:%22656e6250-20ad36%22	https://voldorel.github.io/images/Gif/MRI.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/MRI.gif	(from https://voldorel.github.io/)
22:50:17	120697/120697	---M--	200	added ('OK')	image/jpeg	etag:%22656e6250-1d779%22	https://voldorel.github.io/images/Art/2d/124.jpg	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Art/2d/124.jpg	(from https://voldorel.github.io/)
22:50:17	1801856/1801856	---M--	200	added ('OK')	image/gif	etag:%22656e6250-1b7e80%22	https://voldorel.github.io/images/Gif/Hideout.gif	D:/Finalize%20Portfolio/Finalize/voldorel.github.io/images/Gif/Hideout.gif	(from https://voldorel.github.io/)
